岷 B-location
江 I-location
叠 B-name
溪 I-name
滑 I-name
坡 I-name

叠 O
溪 O
位 O
于 O
四 B-location
川 I-location
茂 B-location
县 I-location
的 O
岷 B-location
江 I-location
上 O
游 O
左 O
岸 O
， O
距 O
成 B-location
都 I-location
2 O
4 O
9 O
k O
m O
、 O
距 O
茂 B-location
县 I-location
5 O
6 O
k O
m O
， O
东 O
经 O
1 O
0 O
3 O
° O
4 O
1 O
' O
、 O
北 O
纬 O
3 O
2 O
° O
0 O
1 O
' O
, O
是 O
一 O
依 O
山 O
傍 O
水 O
修 O
建 O
的 O
山 O
区 O
古 O
城 O
。 O

1 O
9 O
3 O
3 O
年 O
8 O
月 O
2 O
5 O
日 O
1 O
5 O
： O
5 O
3 O
， O
叠 O
溪 O
发 O
生 O
震 O
中 O
烈 O
度 O
X O
度 O
的 O
7 O
. O
5 O
级 O
强 O
烈 O
地 B-predisposition
震 I-predisposition
， O
波 O
及 O
范 O
围 O
北 O
至 O
西 B-location
安 I-location
， O
东 O
至 O
万 B-location
县 I-location
， O
西 O
抵 O
马 B-location
尔 I-location
康 I-location
， O
南 O
达 O
昭 B-location
通 I-location
。 O

由 O
于 O
发 O
生 O
在 O
山 B-topography
区 I-topography
， O
此 O
次 O
地 B-predisposition
震 I-predisposition
的 O
突 O
出 O
特 O
征 O
是 O
在 O
广 O
大 O
范 O
围 O
内 O
诱 O
发 O
强 O
烈 O
的 O
河 O
流 O
岸 O
坡 O
及 O
沟 B-topography
谷 I-topography
斜 B-topography
坡 I-topography
的 O
崩 B-process
塌 I-process
与 O
滑 O
坡 O
， O
这 O
些 O
崩 B-process
滑 I-process
灾 O
害 O
摧 O
毁 O
了 O
叠 O
溪 O
古 O
城 O
、 O
沙 O
湾 O
、 O
较 O
场 O
坝 O
、 O
猴 O
儿 O
寨 O
、 O
龙 O
池 O
及 O
附 O
近 O
的 O
2 O
1 O
个 O
羌 O
寨 O
， O
造 O
成 O
6 O
8 O
6 O
5 O
人 O
死 O
亡 O
， O
1 O
9 O
2 O
5 O
人 O
受 O
伤 O
。 O

斜 B-topography
坡 I-topography
崩 B-process
滑 I-process
形 O
成 O
的 O
滑 B-element
坡 I-element
坝 I-element
在 O
岷 B-location
江 I-location
及 O
其 O
支 O
流 O
上 O
形 O
成 O
不 O
同 O
规 O
模 O
的 O
1 O
1 O
个 O
堰 B-process
塞 I-process
湖 I-process
， O
其 O
中 O
以 O
叠 O
溪 O
附 O
近 O
的 O
大 O
、 O
小 O
海 O
子 O
规 O
模 O
最 O
大 O
。 O

较 O
场 O
坝 O
以 O
北 O
岷 B-location
江 I-location
两 O
岸 O
的 O
观 B-location
音 I-location
崖 I-location
和 O
银 B-location
屏 I-location
崖 I-location
遥 O
相 O
对 O
峙 O
， O
地 B-predisposition
震 I-predisposition
时 O
二 O
者 O
从 O
山 O
顶 O
坠 O
入 O
岷 B-location
江 I-location
， O
形 O
成 O
地 B-predisposition
震 I-predisposition
后 O
第 O
4 O
5 O
天 O
， O
即 O
1 O
9 O
3 O
3 O
年 O
1 O
0 O
月 O
9 O
日 O
1 O
9 O
： O
0 O
0 O
， O
强 O
烈 O
的 O
余 O
震 O
引 O
发 O
松 O
平 O
沟 O
、 O
白 O
腊 O
寨 O
等 O
7 O
处 O
海 O
子 O
溃 O
决 O
， O
加 O
之 O
岷 B-location
江 I-location
上 O
游 O
松 B-location
潘 I-location
地 O
区 O
阴 O
雨 O
连 O
绵 O
， O
江 O
水 O
暴 O
涨 O
， O
大 O
海 O
子 O
拦 O
河 O
大 O
坝 O
溃 O
